,Latitude,Longitude,PM2.5,Normalized
532,44.771107,10.987437,10.813707,0.8073417
533,44.771107,11.006282,10.754038,0.80288684
534,44.771107,11.0251255,10.694394,0.7984339
535,44.771107,11.04397,10.634775,0.7939828
536,44.771107,11.062814,10.57523,0.7895372
537,44.771107,11.081658,10.51576,0.78509724
538,44.771107,11.100503,10.456402,0.7806656
539,44.771107,11.119347,10.397171,0.7762435
540,44.771107,11.138191,10.338083,0.77183205
541,44.771107,11.157035,10.279173,0.7674338
542,44.771107,11.1758795,10.220439,0.7630488
543,44.771107,11.194724,10.161905,0.75867873
544,44.771107,11.213568,10.103607,0.7543263
545,44.771107,11.232412,10.045545,0.74999136
546,44.771107,11.251256,9.987734,0.74567527
547,44.771107,11.270101,9.930196,0.7413795
548,44.771107,11.288945,9.872935,0.73710454
549,44.771107,11.307789,9.815997,0.73285353
550,44.771107,11.326633,9.759357,0.7286249
551,44.771107,11.345477,9.703041,0.72442037
552,44.771107,11.364322,9.647072,0.7202417
553,44.771107,11.383165,9.591456,0.71608955
554,44.771107,11.40201,9.536194,0.7119637
555,44.771107,11.420855,9.481313,0.7078663
556,44.771107,11.439698,9.426811,0.7037973
557,44.771107,11.458543,9.372696,0.6997571
558,44.771107,11.477386,9.318989,0.6957474
559,44.771107,11.496231,9.265685,0.69176775
560,44.771107,11.515076,9.212803,0.6878196
561,44.771107,11.533919,9.160338,0.6839027
562,44.771107,11.552764,9.108301,0.6800176
563,44.771107,11.571608,9.056715,0.67616624
564,44.771107,11.590452,9.00556,0.67234707
565,44.771107,11.609297,8.954858,0.66856164
566,44.771107,11.62814,8.904619,0.6648109
567,44.771107,11.646985,8.854826,0.66109335
568,44.771107,11.665829,8.805504,0.65741104
569,44.771107,11.684673,8.756641,0.653763
570,44.771107,11.703518,8.708253,0.65015036
571,44.771107,11.722362,8.660327,0.64657223
572,44.771107,11.741206,8.612888,0.6430305
573,44.771107,11.76005,8.565929,0.63952464
574,44.771107,11.778894,8.519447,0.63605434
575,44.771107,11.797739,8.473448,0.63262004
576,44.771107,11.816583,8.427937,0.6292222
577,44.771107,11.835427,8.382906,0.6258603
578,44.771107,11.854271,8.338364,0.62253475
579,44.771107,11.873116,8.294312,0.6192459
580,44.771107,11.89196,8.250748,0.61599344
581,44.771107,11.910804,8.207676,0.6127777
582,44.771107,11.929648,8.165088,0.60959816
583,44.771107,11.948492,8.122993,0.60645545
584,44.771107,11.967337,8.081379,0.6033485
585,44.771107,11.986181,8.0402565,0.6002784
586,44.771107,12.005025,7.999629,0.59724516
587,44.771107,12.0238695,7.9594755,0.59424734
588,44.771107,12.042713,7.919815,0.5912863
589,44.771107,12.061558,7.8806353,0.58836114
590,44.771107,12.080402,7.841946,0.5854727
591,44.771107,12.099246,7.803729,0.5826194
592,44.771107,12.118091,7.765993,0.5798021
593,44.771107,12.136934,7.7287407,0.5770209
594,44.771107,12.155779,7.6919603,0.5742749
595,44.771107,12.1746235,7.655654,0.57156426
596,44.771107,12.193467,7.619816,0.5688886
597,44.771107,12.212312,7.584451,0.56624836
598,44.771107,12.231155,7.54955,0.5636426
599,44.771107,12.25,7.51512,0.5610721
600,44.78166,8.5,11.883789,0.8872331
601,44.78166,8.518845,11.917181,0.88972604
602,44.78166,8.537688,11.950438,0.892209
603,44.78166,8.556533,11.983574,0.8946829
604,44.78166,8.5753765,12.01656,0.89714557
605,44.78166,8.594221,12.049408,0.899598
606,44.78166,8.613066,12.082111,0.9020396
607,44.78166,8.631909,12.114644,0.9044685
608,44.78166,8.650754,12.147025,0.90688604
609,44.78166,8.669598,12.179234,0.9092907
610,44.78166,8.688442,12.211255,0.91168135
