,Latitude,Longitude,NOx_2019,NOx_2020,NOx_2019_Norm,NOx_2020_Norm
272,44.494446,11.072727,4.2500715,6.5790877,0.09035028,0.13986173
273,44.494446,11.112626,4.1561584,6.3878217,0.08835382,0.1357957
274,44.494446,11.152525,4.0655,6.1879673,0.08642655,0.1315471
275,44.494446,11.192424,3.978251,5.9825706,0.08457177,0.12718067
276,44.494446,11.232324,3.894652,5.774669,0.08279458,0.12276098
277,44.494446,11.2722225,3.815034,5.567219,0.08110201,0.11835089
278,44.494446,11.312121,3.739791,5.3629465,0.079502456,0.11400836
279,44.494446,11.35202,3.669336,5.1642947,0.078004695,0.10978532
280,44.494446,11.391919,3.6040535,4.97334,0.07661688,0.1057259
281,44.494446,11.431818,3.5442467,4.7917604,0.07534548,0.10186578
282,44.494446,11.471717,3.4901037,4.620835,0.074194476,0.09823216
283,44.494446,11.511616,3.441677,4.461436,0.073165,0.09484357
284,44.494446,11.551516,3.398879,4.3140707,0.07225517,0.091710806
285,44.494446,11.591414,3.3615003,4.1789303,0.07146055,0.088837914
286,44.494446,11.631313,3.3292208,4.0559187,0.07077434,0.08622287
287,44.494446,11.671212,3.3016458,3.9447167,0.070188135,0.08385888
288,44.494446,11.711111,3.2783296,3.8448324,0.06969247,0.081735484
289,44.494446,11.75101,3.258804,3.7556431,0.06927738,0.07983945
290,44.494446,11.790909,3.2426002,3.6764379,0.06893291,0.07815567
291,44.494446,11.830808,3.2292662,3.6064568,0.068649456,0.07666797
292,44.494446,11.8707075,3.21838,3.544915,0.068418026,0.07535968
293,44.494446,11.910606,3.2095573,3.491035,0.06823047,0.07421427
294,44.494446,11.950505,3.202456,3.4440536,0.06807951,0.07321552
295,44.494446,11.990404,3.1967762,3.4032435,0.067958765,0.072347954
296,44.494446,12.030303,3.1922603,3.3679197,0.067862764,0.071597025
297,44.494446,12.070202,3.1886892,3.3374462,0.06778685,0.070949204
298,44.494446,12.110101,3.1858802,3.3112388,0.06772713,0.07039207
299,44.494446,12.15,3.183681,3.2887654,0.06768038,0.06991432
300,44.516666,8.2,3.2373943,3.2208576,0.06882225,0.0684707
301,44.516666,8.239899,3.2519755,3.236131,0.069132224,0.06879539
302,44.516666,8.279798,3.2694747,3.255045,0.06950423,0.069197476
303,44.516666,8.319697,3.2902982,3.278331,0.06994691,0.0696925
304,44.516666,8.359596,3.3148518,3.3068242,0.07046888,0.070298225
305,44.516666,8.399495,3.3435237,3.3414595,0.071078405,0.07103452
306,44.516666,8.439394,3.3766599,3.3832734,0.07178283,0.07192342
307,44.516666,8.479293,3.4145339,3.433379,0.072587974,0.07298859
308,44.516666,8.519192,3.4573145,3.49293,0.07349743,0.07425456
309,44.516666,8.559091,3.5050304,3.5630894,0.074511796,0.075746045
310,44.516666,8.5989895,3.5575323,3.644946,0.07562791,0.077486195
311,44.516666,8.638889,3.61446,3.7394516,0.076838106,0.079495244
312,44.516666,8.678788,3.6752124,3.8472953,0.07812961,0.08178785
313,44.516666,8.718687,3.7389293,3.9688168,0.07948414,0.08437121
314,44.516666,8.758586,3.8044918,4.103879,0.08087791,0.08724244
315,44.516666,8.798485,3.8705325,4.2517753,0.082281835,0.090386495
316,44.516666,8.838384,3.9354918,4.411163,0.08366277,0.09377484
317,44.516666,8.878283,3.9976885,4.5800285,0.08498498,0.09736468
318,44.516666,8.918181,4.055444,4.7557545,0.08621278,0.101100355
319,44.516666,8.958081,4.107221,4.935214,0.08731349,0.104915395
320,44.516666,8.99798,4.1517816,5.114938,0.08826078,0.10873606
321,44.516666,9.037879,4.188343,5.2913647,0.08903802,0.11248664
322,44.516666,9.077778,4.21669,5.461068,0.08964063,0.116094284
323,44.516666,9.117677,4.237218,5.6209936,0.09007703,0.119494066
324,44.516666,9.157576,4.2509246,5.768644,0.09036841,0.12263289
325,44.516666,9.1974745,4.2593164,5.9022264,0.09054681,0.12547266
326,44.516666,9.237373,4.264257,6.0206842,0.09065184,0.1279909
327,44.516666,9.277273,4.2677865,6.1237164,0.09072687,0.13018121
328,44.516666,9.317172,4.2719126,6.2116394,0.09081458,0.13205032
329,44.516666,9.357071,4.2784343,6.285328,0.09095322,0.13361683
330,44.516666,9.39697,4.2887793,6.34602,0.09117314,0.13490707
331,44.516666,9.436869,4.3039083,6.3951874,0.09149477,0.13595228
332,44.516666,9.476768,4.3242655,6.4343867,0.09192753,0.13678561
333,44.516666,9.516666,4.3498087,6.4651756,0.09247054,0.13744013
334,44.516666,9.556565,4.380088,6.489026,0.093114235,0.13794716
335,44.516666,9.596465,4.4143744,6.50731,0.09384311,0.13833585
336,44.516666,9.636364,4.4518003,6.5212984,0.094638735,0.13863322
337,44.516666,9.676263,4.4915056,6.532181,0.09548281,0.13886456
338,44.516666,9.716162,4.532739,6.5411158,0.09635937,0.1390545
339,44.516666,9.756061,4.574921,6.5492487,0.0972561,0.1392274
340,44.516666,9.795959,4.6176596,6.557745,0.098164655,0.13940802
341,44.516666,9.835858,4.6607366,6.5678062,0.09908041,0.13962191
342,44.516666,9.875757,4.7040863,6.5806646,0.10000196,0.13989526
343,44.516666,9.915656,4.7477956,6.5975523,0.10093116,0.14025427
344,44.516666,9.955556,4.7921386,6.619692,0.10187382,0.14072493
345,44.516666,9.995455,4.8376284,6.6482506,0.10284087,0.14133205
346,44.516666,10.035354,4.8850775,6.684294,0.10384957,0.14209828
347,44.516666,10.075253,4.935592,6.728733,0.104923435,0.14304298
348,44.516666,10.115151,4.9904785,6.7822604,0.10609024,0.1441809
349,44.516666,10.15505,5.0510206,6.845263,0.107377276,0.14552024
350,44.516666,10.194949,5.118151,6.917759,0.108804375,0.1470614
351,44.516666,10.234848,5.1920414,6.9992876,0.11037517,0.14879458
352,44.516666,10.274748,5.2717094,7.0888596,0.112068795,0.15069874
353,44.516666,10.314647,5.354743,7.184888,0.11383397,0.15274017
354,44.516666,10.354546,5.437253,7.2852077,0.11558801,0.1548728
355,44.516666,10.394444,5.5141106,7.387109,0.117221884,0.15703908
356,44.516666,10.434343,5.579511,7.4874573,0.11861221,0.15917234
357,44.516666,10.474242,5.6277475,7.5828443,0.119637646,0.16120012
358,44.516666,10.514141,5.6540766,7.669767,0.12019736,0.16304797
359,44.516666,10.55404,5.655445,7.744818,0.12022645,0.16464345
360,44.516666,10.59394,5.630891,7.8048496,0.11970446,0.16591963
361,44.516666,10.633839,5.581539,7.847078,0.118655324,0.16681734
362,44.516666,10.673738,5.5102434,7.869184,0.117139675,0.16728729
363,44.516666,10.713636,5.4209614,7.8693333,0.11524168,0.16729046
364,44.516666,10.753535,5.318109,7.846207,0.113055184,0.16679883
365,44.516666,10.793434,5.205986,7.7989955,0.11067161,0.16579518
366,44.516666,10.833333,5.0883837,7.7274117,0.10817156,0.16427343
367,44.516666,10.873232,4.968374,7.631686,0.105620325,0.16223843
368,44.516666,10.913132,4.848261,7.5125656,0.1030669,0.1597061
369,44.516666,10.953031,4.7296453,7.3713164,0.10054531,0.15670335
370,44.516666,10.992929,4.613524,7.209689,0.09807674,0.1532674
371,44.516666,11.032828,4.500452,7.029908,0.095672995,0.14944552
372,44.516666,11.072727,4.3907027,6.834606,0.09333989,0.14529368
373,44.516666,11.112626,4.284402,6.626761,0.09108009,0.1408752
374,44.516666,11.152525,4.1816607,6.409603,0.08889596,0.13625875
375,44.516666,11.192424,4.082655,6.1865034,0.08679125,0.13151596
376,44.516666,11.232324,3.9876773,5.960825,0.08477216,0.12671839
377,44.516666,11.2722225,3.8971376,5.735833,0.08284742,0.12193538
378,44.516666,11.312121,3.8115263,5.514533,0.08102745,0.11723087
379,44.516666,11.35202,3.7313566,5.299598,0.07932316,0.11266167
380,44.516666,11.391919,3.6571047,5.09329,0.07774467,0.10827586
381,44.516666,11.431818,3.5891442,4.8974237,0.076299936,0.10411203
