,Latitude,Longitude,NO2_2019,NO2_2020,NO2_2019_Norm,NO2_2020_Norm
320,44.810608,9.137878,10.979501,9.585374,0.2865964,0.2502057
321,44.810608,9.177273,10.922028,9.926251,0.2850962,0.25910357
322,44.810608,9.216666,10.868219,10.249104,0.28369164,0.26753095
323,44.810608,9.256061,10.8241205,10.550116,0.28254053,0.2753882
324,44.810608,9.295455,10.791143,10.828117,0.28167972,0.28264487
325,44.810608,9.334848,10.768608,11.084158,0.28109148,0.28932825
326,44.810608,9.374243,10.755174,11.320679,0.28074083,0.29550213
327,44.810608,9.413636,10.74949,11.540623,0.28059244,0.30124328
328,44.810608,9.453031,10.750391,11.7466345,0.280616,0.30662078
329,44.810608,9.492424,10.756813,11.94043,0.28078362,0.3116794
330,44.810608,9.531818,10.767514,12.122414,0.28106293,0.3164297
331,44.810608,9.571212,10.780742,12.29161,0.28140822,0.3208462
332,44.810608,9.610606,10.794108,12.44594,0.28175712,0.32487467
333,44.810608,9.65,10.804924,12.58265,0.28203943,0.3284432
334,44.810608,9.689394,10.811047,12.698961,0.28219926,0.33147925
335,44.810608,9.728787,10.81189,12.792671,0.28222126,0.33392534
336,44.810608,9.768182,10.809032,12.862602,0.2821467,0.33575073
337,44.810608,9.807576,10.805933,12.90889,0.28206578,0.33695897
338,44.810608,9.84697,10.806698,12.93294,0.28208575,0.33758673
339,44.810608,9.886364,10.81429,12.937254,0.28228393,0.33769935
340,44.810608,9.925757,10.828917,12.925148,0.28266573,0.33738336
341,44.810608,9.965152,10.847406,12.90037,0.28314835,0.33673656
342,44.810608,10.004545,10.864195,12.866911,0.2835866,0.3358632
343,44.810608,10.04394,10.87381,12.828836,0.28383756,0.33486935
344,44.810608,10.083333,10.873728,12.79027,0.2838354,0.33386266
345,44.810608,10.122727,10.866146,12.755391,0.28363752,0.33295223
346,44.810608,10.162121,10.858012,12.728406,0.2834252,0.33224782
347,44.810608,10.201515,10.860078,12.713377,0.28347912,0.33185554
348,44.810608,10.240909,10.886283,12.713976,0.28416315,0.33187115
