,Latitude,Longitude,NO2,Normalized
541,44.771107,11.157035,10.383156,0.47455627
542,44.771107,11.1758795,10.241529,0.46808332
543,44.771107,11.194724,10.099889,0.46160972
544,44.771107,11.213568,9.958733,0.45515823
545,44.771107,11.232412,9.818516,0.44874972
546,44.771107,11.251256,9.679693,0.4424049
547,44.771107,11.270101,9.542648,0.43614134
548,44.771107,11.288945,9.407754,0.42997608
549,44.771107,11.307789,9.27534,0.42392418
550,44.771107,11.326633,9.145674,0.41799784
551,44.771107,11.345477,9.019012,0.41220886
552,44.771107,11.364322,8.895548,0.406566
553,44.771107,11.383165,8.775462,0.40107754
554,44.771107,11.40201,8.658876,0.39574906
555,44.771107,11.420855,8.545899,0.3905855
556,44.771107,11.439698,8.436611,0.38559055
557,44.771107,11.458543,8.331045,0.3807657
558,44.771107,11.477386,8.229241,0.37611282
559,44.771107,11.496231,8.131189,0.3716314
560,44.771107,11.515076,8.0368805,0.36732107
561,44.771107,11.533919,7.9462886,0.36318064
562,44.771107,11.552764,7.859357,0.35920745
563,44.771107,11.571608,7.7760396,0.3553995
564,44.771107,11.590452,7.696258,0.35175312
565,44.771107,11.609297,7.6199408,0.34826508
566,44.771107,11.62814,7.5470095,0.3449318
567,44.771107,11.646985,7.477366,0.34174877
568,44.771107,11.665829,7.410926,0.3387122
569,44.771107,11.684673,7.347584,0.33581716
570,44.771107,11.703518,7.287243,0.3330593
571,44.771107,11.722362,7.229806,0.3304342
572,44.771107,11.741206,7.1751623,0.32793674
573,44.771107,11.76005,7.1232166,0.3255626
574,44.771107,11.778894,7.073861,0.32330683
575,44.771107,11.797739,7.026995,0.32116485
576,44.771107,11.816583,6.982523,0.31913227
577,44.771107,11.835427,6.940337,0.31720418
578,44.771107,11.854271,6.9003477,0.3153765
579,44.771107,11.873116,6.8624535,0.31364456
580,44.771107,11.89196,6.8265653,0.3120043
581,44.771107,11.910804,6.7925925,0.3104516
582,44.771107,11.929648,6.7604446,0.3089823
583,44.771107,11.948492,6.7300386,0.3075926
584,44.771107,11.967337,6.70129,0.30627868
585,44.771107,11.986181,6.6741195,0.30503684
586,44.771107,12.005025,6.6484523,0.30386376
587,44.771107,12.0238695,6.6242104,0.3027558
588,44.771107,12.042713,6.601326,0.30170986
589,44.771107,12.061558,6.579728,0.30072275
590,44.771107,12.080402,6.559352,0.29979149
591,44.771107,12.099246,6.5401354,0.29891318
