"","Date","IDStation","PM10"
"494",2020-02-01,544,NA
"495",2020-03-01,544,NA
"496",2020-04-01,544,NA
"497",2020-05-01,544,NA
"498",2020-06-01,544,NA
"499",2020-07-01,544,NA
"500",2020-08-01,544,NA
"501",2020-09-01,544,NA
"502",2020-10-01,544,NA
"503",2020-11-01,544,NA
"504",2020-12-01,544,NA
"505",2019-01-01,672,NA
"506",2019-02-01,672,NA
"507",2019-03-01,672,NA
"508",2019-04-01,672,NA
"509",2019-05-01,672,NA
"510",2019-06-01,672,NA
"511",2019-07-01,672,NA
"512",2019-08-01,672,NA
"513",2019-09-01,672,NA
"514",2019-10-01,672,NA
"515",2019-11-01,672,NA
"516",2019-12-01,672,NA
"517",2020-01-01,672,NA
"518",2020-02-01,672,NA
"519",2020-03-01,672,NA
"520",2020-04-01,672,NA
"521",2020-05-01,672,NA
"522",2020-06-01,672,NA
"523",2020-07-01,672,NA
"524",2020-08-01,672,NA
"525",2020-09-01,672,NA
"526",2020-10-01,672,NA
"527",2020-11-01,672,NA
"528",2020-12-01,672,NA
"529",2019-01-01,626,NA
"530",2019-02-01,626,NA
"531",2019-03-01,626,NA
"532",2019-04-01,626,NA
"533",2019-05-01,626,NA
"534",2019-06-01,626,NA
"535",2019-07-01,626,NA
"536",2019-08-01,626,NA
"537",2019-09-01,626,NA
"538",2019-10-01,626,NA
"539",2019-11-01,626,NA
"540",2019-12-01,626,NA
"541",2020-01-01,626,NA
"542",2020-02-01,626,NA
"543",2020-03-01,626,NA
"544",2020-04-01,626,NA
"545",2020-05-01,626,NA
"546",2020-06-01,626,NA
"547",2020-07-01,626,NA
"548",2020-08-01,626,NA
"549",2020-09-01,626,NA
"550",2020-10-01,626,NA
"551",2020-11-01,626,NA
"552",2020-12-01,626,NA
"553",2019-01-01,629,53.6451612903226
"554",2019-02-01,629,58.75
"555",2019-03-01,629,37.1290322580645
"556",2019-04-01,629,23.1666666666667
"557",2019-05-01,629,15.0967741935484
"558",2019-06-01,629,29.3666666666667
"559",2019-07-01,629,24.6071428571429
"560",2019-08-01,629,25.9677419354839
"561",2019-09-01,629,32.1
"562",2019-10-01,629,37.7931034482759
"563",2019-11-01,629,22.3333333333333
"564",2019-12-01,629,43.9677419354839
"565",2020-01-01,629,62.0322580645161
"566",2020-02-01,629,45.7241379310345
"567",2020-03-01,629,34.9677419354839
"568",2020-04-01,629,27.4285714285714
"569",2020-05-01,629,19.5161290322581
"570",2020-06-01,629,15.7666666666667
"571",2020-07-01,629,20.0967741935484
"572",2020-08-01,629,21.8666666666667
"573",2020-09-01,629,32.5666666666667
"574",2020-10-01,629,31.9032258064516
"575",2020-11-01,629,55.0333333333333
"576",2020-12-01,629,37.1290322580645
"577",2019-01-01,627,57.7333333333333
"578",2019-02-01,627,61.1428571428571
"579",2019-03-01,627,37.2903225806452
"580",2019-04-01,627,19.5357142857143
"581",2019-05-01,627,13.4347826086957
