,desc_zona,id_zona,sigla_prov,Centroide,Latitude,Longitude
409,BORGO SAN GIOVANNI,1212.0,LO,POINT (9.420313085486677 45.27452263200442),45.27452263200442,9.420313085486677
410,BREMBIO,1213.0,LO,POINT (9.567009960102464 45.2135445685),45.2135445685,9.567009960102464
411,CAMAIRAGO,1214.0,LO,POINT (9.737506939823932 45.20670516856012),45.20670516856012,9.737506939823932
412,VIGGIU`,122.0,VA,POINT (8.90502211135736 45.8686390748635),45.8686390748635,8.90502211135736
413,CASALETTO LODIGIANO,1215.0,LO,POINT (9.352616378608946 45.29789598434343),45.297895984343434,9.352616378608946
414,CAVACURTA,1221.0,LO,POINT (9.73830349121196 45.18839701718132),45.18839701718132,9.73830349121196
415,CAVENAGO D`ADDA,1222.0,LO,POINT (9.591079694360211 45.28074119817911),45.280741198179115,9.59107969436021
416,CERVIGNANO D`ADDA,1223.0,LO,POINT (9.427854179254169 45.37205206804233),45.37205206804233,9.427854179254169
417,CODOGNO,1224.0,LO,POINT (9.694981240989561 45.16760392420056),45.167603924200556,9.694981240989561
418,VIZZOLA TICINO,123.0,VA,POINT (8.685206705475153 45.62658809895592),45.62658809895592,8.685206705475153
419,COMAZZO,1225.0,LO,POINT (9.454461829729579 45.44614531453075),45.44614531453075,9.45446182972958
420,CORNEGLIANO LAUDENSE,1226.0,LO,POINT (9.480489012667126 45.28677173296077),45.286771732960766,9.480489012667126
421,CORNO GIOVINE,1227.0,LO,POINT (9.769197919580494 45.12966380629669),45.12966380629669,9.769197919580494
422,GALGAGNANO,1230.0,LO,POINT (9.454370420964828 45.35616961849831),45.356169618498306,9.454370420964828
423,GRAFFIGNANA,1231.0,LO,POINT (9.4445321611691 45.20785164420582),45.207851644205824,9.4445321611691
424,GUARDAMIGLIO,1232.0,LO,POINT (9.666118695567576 45.10973569120067),45.10973569120067,9.666118695567576
425,LIVRAGA,1233.0,LO,POINT (9.543777352053738 45.18746695099864),45.18746695099864,9.543777352053738
426,LODI VECCHIO,1234.0,LO,POINT (9.416974768996084 45.30144028042606),45.301440280426064,9.416974768996084
427,SANGIANO,124.0,VA,POINT (8.632555150689019 45.87764118555266),45.87764118555266,8.632555150689019
428,MAIRAGO,1235.0,LO,POINT (9.588227665562082 45.2556177031846),45.255617703184605,9.588227665562082
429,MARUDO,1236.0,LO,POINT (9.373612903452971 45.2549472699873),45.254947269987305,9.37361290345297
430,MASSALENGO,1237.0,LO,POINT (9.49380730724128 45.26320626193988),45.26320626193988,9.49380730724128
431,MERLINO,1238.0,LO,POINT (9.445656087126036 45.43037010477146),45.43037010477146,9.445656087126036
432,MONTANASO LOMBARDO,1239.0,LO,POINT (9.460312555407894 45.3359535212706),45.335953521270596,9.460312555407894
433,MULAZZANO,1240.0,LO,POINT (9.403621449076862 45.36940458540656),45.36940458540656,9.403621449076862
434,ORIO LITTA,1241.0,LO,POINT (9.55420177173268 45.15637948145439),45.156379481454394,9.55420177173268
