IdSensore,NomeTipoSensore,UnitaMisura,Idstazione,NomeStazione,Quota,Provincia,Comune,Storico,DataStart,DataStop,Utm_Nord,UTM_Est,lat,lng,location,Valore,idOperatore
10038,Biossido di Azoto,µg/m³,687,Ferno,215.0,VA,Ferno,N,06/11/2006,,5051773,481053,45.61924377994763,8.756970445453431,"(45.61924377994763, 8.756970445453431)",24.588971428571472,1
5547,Biossido di Azoto,µg/m³,544,Cormano,153.0,MI,Cormano,N,24/10/1994,,5044180,512693,45.551041944372415,9.162613653151322,"(45.551041944372415, 9.162613653151322)",-141.73682857142845,1
9852,Biossido di Azoto,µg/m³,672,Cornale (Voghera Energia),74.0,PV,Cornale,N,29/07/2005,,4987406,493238,45.04007657202963,8.914144599002409,"(45.04007657202963, 8.914144599002409)",-265.40120000000036,1
6685,Biossido di Azoto,µg/m³,642,Pavia - via Folperti,77.0,PV,Pavia,N,01/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)",22.974149270803537,1
6665,Ozono,µg/m³,565,Cantù - via Meucci,369.0,CO,Cantù,N,17/01/2005,,5064150,509783,45.73083672267427,9.125734327022926,"(45.73083672267427, 9.125734327022926)",-646.135537665326,1
6869,Benzene,µg/m³,642,Pavia - via Folperti,77.0,PV,Pavia,N,06/06/2002,,5004590,512932,45.19467609907785,9.164638300630086,"(45.19467609907785, 9.164638300630086)",-1574.5876712328768,1
30158,Particelle sospese PM2.5,µg/m³,649,Brescia - Broletto,149.0,BS,Brescia,N,13/12/2013,,5043674,595467,45.540057846971386,10.222818449274216,"(45.540057846971386, 10.222818449274216)",-44.65068493150685,1
6232,Ossidi di Azoto,µg/m³,561,Como - viale Cattaneo,202.0,CO,Como,N,01/01/1991,,5073500,505203,45.81504286011291,9.06697137484454,"(45.81504286011291, 9.06697137484454)",62.00789247926812,1
9740,PM10 (SM2005),µg/m³,604,Tavazzano,85.0,LO,Tavazzano con Villavesco,N,05/04/2005,,5019734,532492,45.33036100181227,9.414644726627262,"(45.33036100181227, 9.414644726627262)",-30.671232876712327,1
9882,Ozono,µg/m³,674,Monza - via Machiavelli,162.0,MB,Monza,N,21/10/2005,,5047450,521343,45.58026348442243,9.273573092713274,"(45.58026348442243, 9.273573092713274)",37.06521865044886,1
20082,Ammoniaca,µg/m³,573,Colico,229.0,LC,Colico,N,20/11/2013,,5109468,529713,46.1381409051264,9.384687247651794,"(46.1381409051264, 9.384687247651794)",7.6041095890410935,1
6706,Ossidi di Azoto,µg/m³,643,Pavia - p.zza Minerva,77.0,PV,Pavia,N,03/03/2002,,5003660,511522,45.18632908049483,9.146666041286784,"(45.18632908049483, 9.146666041286784)",71.6286653329521,1
10505,Ossidi di Azoto,µg/m³,1269,Dalmine - via Verdi,207.0,BG,Dalmine,N,12/02/2010,,5055304,546847,45.64970251236247,9.601223338785262,"(45.64970251236247, 9.601223338785262)",44.95623021582714,1
17040,Nikel,ng/m³,583,Bergamo - via Meucci,249.0,BG,Bergamo,N,13/01/2012,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)",7.827719999999999,1
17286,Biossido di Azoto,µg/m³,1374,Monza Parco,181.0,MB,Monza,N,01/05/2013,,5049780,521452,45.60123219955139,9.27507265782848,"(45.60123219955139, 9.27507265782848)",-55.86679051157472,1
10580,Biossido di Zolfo,µg/m³,627,Cremona - p.zza Cadorna,39.0,CR,Cremona,N,01/09/2010,,4998110,579872,45.13194691285173,10.015741513336042,"(45.13194691285173, 10.015741513336042)",-392.80017147756377,1
9888,Monossido di Carbonio,mg/m³,583,Bergamo - via Meucci,249.0,BG,Bergamo,N,11/03/2005,,5059922,550116,45.69103740547214,9.643650579461385,"(45.69103740547214, 9.643650579461385)",-8.178593883966876,1
10041,Ozono,µg/m³,687,Ferno,215.0,VA,Ferno,N,06/11/2006,,5051773,481053,45.61924377994763,8.756970445453431,"(45.61924377994763, 8.756970445453431)",40.33474452554746,1
5732,Ozono,µg/m³,573,Colico,229.0,LC,Colico,N,06/11/1996,,5109468,529713,46.1381409051264,9.384687247651794,"(46.1381409051264, 9.384687247651794)",-254.6501143510577,1
6212,Ossidi di Azoto,µg/m³,596,Osio Sotto,182.0,BG,Osio Sotto,N,06/04/2000,,5052072,547691,45.62055567939559,9.611737821812373,"(45.62055567939559, 9.611737821812373)",31.51202185792347,1
6871,Biossido di Azoto,µg/m³,663,Mantova - via Ariosto,18.0,MN,Mantova,N,01/01/2003,,5000669,641770,45.14526012578896,10.80332595007927,"(45.14526012578896, 10.80332595007927)",-10.207473102646075,1
5718,Ozono,µg/m³,546,Magenta,137.0,MI,Magenta,N,29/07/1995,,5034328,490635,45.462415791106615,8.880210433125571,"(45.462415791106615, 8.880210433125571)",39.77965714285708,1
12598,Piombo,ng/m³,609,Casirate d`Adda,108.0,BG,Casirate d'Adda,N,24/04/2008,,5038450,543458,45.49822713394494,9.55623226235176,"(45.49822713394494, 9.556232262351761)",11.922559999999997,1
6879,Monossido di Carbonio,mg/m³,664,Mantova - p.zza Gramsci,18.0,MN,Mantova,N,11/06/2004,,5001351,640031,45.151743379576594,10.78140770009565,"(45.151743379576594, 10.78140770009565)",-13.72417142857079,1
30163,Biossido di Azoto,µg/m³,669,Brescia - Villaggio Sereno,70.0,BS,Brescia,N,13/12/2013,,5040636,593101,45.51303881865376,10.19194188877931,"(45.513038818653754, 10.19194188877931)",-528.76822241429,1
